IDTransacao,IDCliente,NomeProduto,Quantidade,Preco,Data
52,C062,Carvao,4,27.27,2025-02-12
53,C049,Pao,4,7.54,2025-04-27
54,C037,Hamburguer,6,28.8,2025-05-23
55,C085,Iogurte,2,7.32,2025-02-25
56,C008,Leite,6,8.62,2025-01-13
57,C075,Pao_de_Hot_Dog,5,27.74,2025-05-16
58,C021,Leite,5,3.39,2025-02-17
59,C009,Cafe,6,26.13,2025-04-14
60,C016,Lenco_Umedecido,5,18.65,2025-01-21
61,C054,Biscoito,3,7.72,2025-03-22
62,C031,Shampoo,4,5.66,2025-03-18
63,C059,Biscoito,1,2.26,2025-05-25
64,C013,Cafe,5,7.97,2025-03-09
65,C017,Sabonete,1,26.62,2025-04-05
66,C037,Macarrao,4,25.34,2025-03-19
67,C079,Pao,6,19.9,2025-03-18
68,C085,Queijo,2,14.12,2025-01-28
69,C096,Feijao,3,9.89,2025-02-23
70,C092,Refrigerante,2,21.25,2025-03-09
71,C065,Iogurte,3,27.35,2025-01-14
72,C012,Hamburguer,3,3.23,2025-03-27
73,C099,Arroz,6,29.43,2025-02-11
74,C095,Pao_de_Hamburguer,5,21.76,2025-05-24
75,C002,Vinho,1,42.69,2025-02-08
76,C070,Geleia,3,18.31,2025-02-07
77,C056,Arroz,1,10.63,2025-01-11
78,C046,Carvao,6,8.99,2025-01-27
79,C046,Fermento,5,22.99,2025-03-02
80,C021,Molho_de_Tomate,4,2.69,2025-03-27
81,C053,Lenco_Umedecido,3,6.46,2025-01-28
82,C049,Geleia,4,8.23,2025-04-28
83,C045,Esponja,2,8.24,2025-02-19
84,C052,Refrigerante,3,26.2,2025-03-13
85,C045,Granola,4,21.03,2025-05-18
86,C043,Manteiga,1,26.56,2025-03-08
87,C023,Shampoo,1,5.04,2025-04-22
88,C045,Biscoito,4,18.97,2025-05-11
89,C015,Azeite,5,7.32,2025-01-12
90,C091,Hamburguer,1,16.56,2025-05-18
91,C088,Cerveja,3,14.08,2025-03-26
92,C080,Biscoito,6,25.74,2025-03-18
93,C065,Esponja,6,13.44,2025-04-14
94,C090,Detergente,5,5.56,2025-04-18
95,C086,Azeite,6,22.95,2025-02-14
96,C079,Esponja,4,17.34,2025-01-01
97,C039,Detergente,2,14.04,2025-05-29
98,C078,Biscoito,4,14.37,2025-02-24
99,C066,Pao_de_Hot_Dog,6,6.75,2025-01-22
100,C037,Granola,6,19.72,2025-03-27
101,C012,Lenco_Umedecido,6,10.69,2025-02-20
102,C019,Manteiga,1,8.86,2025-05-02
103,C079,Cafe,4,13.6,2025-05-28
104,C025,Azeite,4,13.19,2025-02-07
105,C084,Pao,1,19.04,2025-02-26
106,C023,Salsicha,1,17.61,2025-02-01
107,C059,Arroz,4,20.69,2025-05-24
108,C077,Biscoito,4,19.15,2025-05-10
109,C055,Pao_de_Hamburguer,2,22.82,2025-05-02
110,C058,Shampoo,2,25.52,2025-03-12
111,C099,Iogurte,6,8.7,2025-04-23
112,C010,Detergente,2,9.61,2025-03-23
113,C070,Acucar,2,4.98,2025-04-09
114,C089,Feijao,6,7.99,2025-04-17
115,C053,Refrigerante,5,15.05,2025-01-16
116,C027,Fermento,4,27.34,2025-05-30
117,C090,Manteiga,5,12.65,2025-01-02
118,C046,Esponja,4,25.9,2025-04-18
119,C069,Fralda,4,8.14,2025-04-22
120,C063,Manteiga,4,11.41,2025-04-14
121,C093,Macarrao,4,27.75,2025-05-17
122,C004,Farinha,5,17.8,2025-01-07
123,C011,Hamburguer,2,26.27,2025-02-16
124,C007,Shampoo,4,11.17,2025-04-27
125,C042,Refrigerante,4,9.79,2025-04-18
126,C033,Acucar,4,2.03,2025-05-19
127,C007,Sabonete,2,20.2,2025-01-11
128,C097,Manteiga,2,7.58,2025-01-06
129,C080,Feijao,2,5.53,2025-01-30
130,C073,Carvao,4,21.59,2025-04-05
131,C022,Vinho,2,43.52,2025-01-28
132,C075,Manteiga,3,18.12,2025-04-07
133,C051,Cerveja,1,18.58,2025-03-04
134,C014,Esponja,6,18.81,2025-01-31
135,C073,Geleia,3,16.92,2025-04-05
136,C009,Granola,6,11.55,2025-04-18
137,C063,Queijo,4,43.35,2025-04-28
138,C091,Feijao,4,6.93,2025-05-14
139,C084,Condicionador,5,24.63,2025-05-18
140,C100,Pao_de_Hot_Dog,4,14.2,2025-03-10
141,C042,Lenco_Umedecido,1,9.81,2025-04-26
142,C032,Salsicha,5,19.09,2025-04-08
143,C044,Manteiga,4,25.83,2025-02-16
144,C063,Carvao,3,24.34,2025-03-29
145,C036,Condicionador,5,2.28,2025-02-18
146,C011,Lenco_Umedecido,6,13.38,2025-05-23
147,C098,Lenco_Umedecido,6,15.33,2025-05-06
148,C058,Manteiga,1,10.24,2025-04-14
149,C089,Lenco_Umedecido,3,20.59,2025-04-05
150,C061,Sabonete,4,29.91,2025-05-21
151,C043,Sabonete,6,14.7,2025-03-20
152,C033,Fralda,1,22.2,2025-03-22
153,C016,Molho_de_Tomate,2,8.06,2025-05-04
154,C036,Detergente,1,25.31,2025-03-17
155,C030,Arroz_Integral,2,10.46,2025-05-17
156,C017,Condicionador,1,29.28,2025-05-22
157,C038,Arroz,6,26.32,2025-05-06
158,C014,Pao,5,7.97,2025-05-03
159,C057,Refrigerante,2,29.03,2025-03-06
160,C062,Vinho,1,19.83,2025-01-19
161,C074,Leite,2,4.94,2025-05-25
162,C039,Acucar,2,4.26,2025-04-17
163,C078,Fralda,5,12.65,2025-04-24
164,C039,Hamburguer,3,17.92,2025-01-16
165,C079,Queijo,2,29.27,2025-03-09
166,C085,Acucar,2,6.98,2025-05-22
167,C010,Macarrao,1,13.44,2025-05-01
168,C038,Geleia,2,10.07,2025-03-14
169,C090,Salsicha,1,21.25,2025-03-09
170,C081,Cerveja,4,5.21,2025-02-27
171,C083,Feijao,3,25.15,2025-01-19
172,C008,Macarrao,3,18.66,2025-05-26
173,C037,Pao_de_Hamburguer,1,15.12,2025-03-19
174,C090,Farinha,3,16.01,2025-05-07
175,C057,Acucar,5,2.5,2025-04-21
176,C095,Biscoito,5,9.01,2025-01-24
177,C030,Manteiga,6,25.0,2025-05-28
178,C006,Molho_de_Tomate,4,16.53,2025-04-24
179,C036,Molho_de_Tomate,5,14.2,2025-05-06
180,C012,Pao_de_Hot_Dog,3,13.43,2025-03-24
181,C086,Queijo,2,16.84,2025-05-07
182,C037,Farinha,5,3.03,2025-01-23
183,C041,Shampoo,3,5.25,2025-04-14
184,C066,Pao,6,21.07,2025-04-29
185,C053,Leite,2,13.22,2025-05-08
186,C081,Pao_de_Hamburguer,1,7.7,2025-05-21
187,C017,Detergente,4,26.66,2025-05-05
188,C016,Manteiga,6,19.05,2025-03-03
189,C091,Macarrao,3,17.42,2025-05-22
190,C053,Acucar,2,23.82,2025-01-30
191,C060,Vinho,6,37.95,2025-05-08
192,C092,Detergente,5,21.75,2025-04-17
193,C062,Pao_de_Hot_Dog,2,14.79,2025-02-07
194,C050,Cerveja,5,16.23,2025-02-04
195,C009,Condicionador,4,11.52,2025-05-10
196,C035,Pao,3,17.86,2025-05-31
197,C075,Iogurte,2,14.5,2025-05-04
198,C045,Refrigerante,5,23.36,2025-04-07
199,C059,Biscoito,2,29.46,2025-03-03
200,C074,Azeite,2,25.97,2025-04-16
201,C006,Biscoito,6,15.24,2025-04-08
202,C050,Feijao,4,29.02,2025-02-02
203,C065,Refrigerante,1,26.48,2025-04-23
204,C013,Salsicha,1,22.23,2025-04-15
205,C084,Feijao,1,15.15,2025-03-09
206,C044,Farinha,6,4.25,2025-03-26
207,C087,Azeite,3,19.55,2025-05-05
208,C070,Geleia,5,3.92,2025-03-15
209,C030,Acucar,4,23.51,2025-01-26
210,C057,Macarrao,6,10.39,2025-01-08
211,C006,Biscoito,1,10.21,2025-04-06
212,C056,Feijao,2,16.87,2025-05-25
213,C088,Molho_de_Tomate,2,6.9,2025-04-08
214,C080,Lenco_Umedecido,4,27.56,2025-02-06
215,C030,Salsicha,6,9.11,2025-03-07
216,C086,Pao,4,21.78,2025-05-20
217,C021,Cafe,4,28.47,2025-05-31
218,C039,Hamburguer,6,9.0,2025-03-19
219,C026,Azeite,4,4.99,2025-04-08
220,C074,Sabonete,5,10.28,2025-03-17
221,C003,Farinha,3,2.23,2025-01-13
222,C078,Iogurte,3,23.72,2025-02-28
223,C078,Sabonete,2,19.83,2025-03-06
224,C087,Arroz,6,4.72,2025-01-11
225,C040,Pao_de_Hamburguer,1,18.23,2025-02-03
226,C012,Detergente,3,22.93,2025-02-14
227,C026,Arroz,5,26.54,2025-04-04
228,C068,Granola,3,25.25,2025-03-07
229,C062,Detergente,6,26.37,2025-01-30
230,C060,Cafe,2,23.12,2025-02-27
231,C087,Farinha,5,12.24,2025-04-12
232,C002,Shampoo,5,5.46,2025-04-05
233,C087,Shampoo,5,12.67,2025-04-06
234,C014,Fralda,4,2.7,2025-05-24
235,C042,Fralda,6,3.77,2025-04-29
236,C090,Esponja,6,13.43,2025-02-05
237,C006,Geleia,3,29.89,2025-01-30
238,C013,Lenco_Umedecido,5,5.8,2025-04-27
239,C048,Fermento,5,22.78,2025-02-09
240,C054,Queijo,4,28.86,2025-03-13
241,C005,Arroz_Integral,2,14.41,2025-03-02
242,C047,Queijo,6,18.43,2025-04-02
243,C008,Farinha,3,7.31,2025-02-01
244,C059,Acucar,6,6.35,2025-01-06
245,C007,Refrigerante,2,29.69,2025-05-25
246,C027,Cafe,5,7.8,2025-02-25
247,C030,Refrigerante,2,24.08,2025-01-01
248,C036,Feijao,2,17.13,2025-02-14
249,C015,Manteiga,2,2.42,2025-03-02
250,C076,Biscoito,1,6.88,2025-01-14
251,C017,Fermento,5,5.18,2025-01-17
252,C061,Pao_de_Hamburguer,3,16.37,2025-01-28
253,C058,Granola,2,28.47,2025-01-12
254,C094,Esponja,4,20.01,2025-01-08
255,C008,Pao_de_Hot_Dog,4,13.94,2025-01-28
256,C063,Pao_de_Hamburguer,1,27.18,2025-03-24
257,C078,Feijao,1,5.53,2025-05-30
258,C071,Biscoito,4,29.85,2025-05-16
259,C038,Salsicha,5,18.95,2025-01-26
260,C090,Vinho,6,30.34,2025-05-22
261,C093,Carvao,4,14.64,2025-02-28
262,C053,Refrigerante,4,13.16,2025-01-25
263,C041,Hamburguer,3,20.62,2025-04-06
264,C020,Pao_de_Hot_Dog,1,4.55,2025-01-22
265,C012,Hamburguer,1,22.85,2025-04-06
266,C017,Leite,5,23.03,2025-05-24
267,C043,Vinho,4,17.85,2025-04-19
268,C093,Leite,3,15.05,2025-04-01
269,C014,Granola,2,6.33,2025-05-04
270,C029,Queijo,3,38.51,2025-04-05
271,C015,Condicionador,5,8.33,2025-04-20
272,C072,Manteiga,5,28.01,2025-03-10
273,C004,Molho_de_Tomate,3,21.68,2025-03-21
274,C044,Sabonete,1,7.08,2025-02-06
275,C073,Farinha,1,5.97,2025-01-08
276,C012,Carvao,4,13.76,2025-03-29
277,C021,Arroz_Integral,3,22.2,2025-05-26
278,C077,Acucar,1,5.09,2025-01-13
279,C087,Acucar,3,11.53,2025-04-19
280,C063,Pao_de_Hamburguer,4,9.65,2025-05-12
281,C015,Sabonete,4,5.1,2025-05-05
282,C068,Esponja,1,8.17,2025-01-15
283,C001,Carvao,3,28.47,2025-02-05
284,C098,Shampoo,3,11.19,2025-01-02
285,C064,Hamburguer,2,5.62,2025-05-17
286,C091,Fralda,5,17.64,2025-04-01
287,C010,Farinha,6,3.18,2025-01-05
288,C059,Cafe,3,18.12,2025-05-27
289,C052,Fermento,3,5.22,2025-01-06
290,C042,Macarrao,5,14.88,2025-04-03
291,C012,Hamburguer,1,8.81,2025-05-31
292,C052,Acucar,4,21.1,2025-03-28
293,C029,Refrigerante,2,4.14,2025-01-30
294,C068,Granola,2,27.37,2025-03-31
295,C045,Feijao,2,4.88,2025-03-07
296,C026,Molho_de_Tomate,5,6.28,2025-01-20
297,C023,Iogurte,4,23.12,2025-05-29
298,C058,Biscoito,6,10.85,2025-04-23
299,C009,Pao_de_Hot_Dog,4,19.68,2025-03-12
300,C076,Leite,3,12.97,2025-03-21
301,C060,Pao_de_Hamburguer,1,3.59,2025-03-15
302,C010,Acucar,5,14.9,2025-04-09
303,C060,Geleia,4,27.45,2025-05-27
304,C084,Cerveja,3,18.94,2025-05-09
305,C020,Leite,4,3.92,2025-03-29
306,C092,Acucar,5,16.07,2025-01-11
307,C032,Pao_de_Hamburguer,4,16.67,2025-02-10
308,C047,Arroz_Integral,3,12.85,2025-03-28
309,C087,Leite,6,16.1,2025-01-17
310,C043,Queijo,5,31.48,2025-03-14
311,C033,Feijao,3,4.28,2025-02-06
312,C045,Esponja,6,21.56,2025-04-11
313,C017,Acucar,3,14.12,2025-03-26
314,C017,Acucar,6,16.62,2025-05-11
315,C047,Manteiga,3,10.65,2025-02-24
316,C044,Iogurte,2,8.34,2025-02-05
317,C020,Cafe,3,25.64,2025-01-26
318,C065,Geleia,6,11.43,2025-02-03
319,C077,Azeite,2,6.54,2025-02-12
320,C093,Pao_de_Hamburguer,1,13.5,2025-03-02
321,C057,Detergente,6,23.95,2025-03-01
322,C069,Lenco_Umedecido,3,29.04,2025-05-01
323,C025,Arroz_Integral,6,28.52,2025-04-23
324,C060,Detergente,4,16.08,2025-04-18
325,C021,Cerveja,5,5.88,2025-03-06
326,C007,Pao_de_Hot_Dog,3,17.53,2025-01-27
327,C092,Vinho,3,6.52,2025-02-11
328,C035,Pao_de_Hamburguer,5,6.13,2025-04-22
329,C012,Fralda,4,26.77,2025-01-07
330,C054,Leite,4,12.85,2025-03-02
331,C050,Acucar,3,6.63,2025-03-23
332,C013,Refrigerante,2,5.85,2025-03-15
333,C061,Arroz,6,15.14,2025-01-02
334,C011,Manteiga,3,8.04,2025-02-08
335,C071,Hamburguer,1,23.73,2025-03-02
336,C039,Vinho,1,13.02,2025-04-28
337,C009,Vinho,4,28.07,2025-01-05
338,C081,Granola,5,8.77,2025-02-06
339,C038,Hamburguer,1,19.21,2025-03-03
340,C074,Fermento,2,20.6,2025-01-22
341,C068,Arroz_Integral,1,28.7,2025-05-20
342,C065,Granola,5,2.57,2025-05-01
343,C006,Azeite,3,9.1,2025-01-05
344,C046,Cafe,3,8.75,2025-01-27
345,C099,Refrigerante,2,3.24,2025-05-20
346,C044,Molho_de_Tomate,6,15.01,2025-05-03
347,C081,Molho_de_Tomate,2,3.77,2025-04-28
348,C005,Detergente,2,3.23,2025-02-21
349,C006,Biscoito,3,16.43,2025-05-20
350,C061,Shampoo,1,23.09,2025-02-18
351,C037,Sabonete,1,26.24,2025-03-26
352,C035,Vinho,3,21.34,2025-04-13
353,C096,Pao_de_Hamburguer,4,11.49,2025-02-17
354,C064,Iogurte,3,27.88,2025-05-13
355,C035,Acucar,6,11.11,2025-04-21
356,C078,Molho_de_Tomate,5,10.23,2025-01-27
357,C011,Biscoito,6,10.28,2025-04-25
358,C078,Hamburguer,2,21.31,2025-03-31
359,C058,Geleia,6,26.36,2025-04-01
360,C079,Hamburguer,3,19.91,2025-01-15
361,C010,Farinha,3,16.37,2025-02-10
362,C004,Feijao,5,20.99,2025-04-23
363,C005,Arroz,1,8.61,2025-04-04
364,C047,Azeite,5,2.91,2025-02-09
365,C087,Pao_de_Hamburguer,3,12.42,2025-01-20
366,C074,Arroz,5,12.27,2025-03-22
367,C084,Condicionador,2,28.89,2025-01-07
368,C095,Molho_de_Tomate,4,16.5,2025-05-24
369,C016,Shampoo,3,21.71,2025-02-24
370,C079,Detergente,6,27.66,2025-05-06
371,C026,Vinho,2,38.82,2025-04-26
372,C023,Pao_de_Hamburguer,1,24.69,2025-03-23
373,C086,Sabonete,6,3.82,2025-05-19
374,C038,Esponja,2,21.93,2025-02-14
375,C047,Granola,2,5.4,2025-02-21
376,C018,Lenco_Umedecido,4,2.74,2025-05-22
377,C074,Arroz_Integral,4,24.5,2025-05-22
378,C017,Acucar,1,8.53,2025-05-03
379,C068,Fermento,4,25.05,2025-01-19
380,C017,Biscoito,6,4.08,2025-04-30
381,C088,Sabonete,2,26.58,2025-05-22
382,C082,Molho_de_Tomate,2,14.11,2025-01-15
383,C016,Feijao,3,6.61,2025-03-24
384,C091,Fralda,3,28.53,2025-05-13
385,C037,Acucar,3,6.0,2025-05-22
386,C036,Arroz,6,10.48,2025-05-17
387,C012,Granola,6,6.72,2025-05-29
388,C020,Macarrao,6,19.49,2025-03-28
389,C073,Geleia,1,4.27,2025-05-28
390,C034,Carvao,5,13.66,2025-01-08
391,C064,Detergente,6,28.79,2025-05-04
392,C032,Farinha,3,14.7,2025-01-16
393,C021,Pao_de_Hamburguer,4,15.56,2025-02-22
394,C044,Feijao,3,26.12,2025-03-23
395,C094,Sabonete,4,5.66,2025-04-05
396,C066,Queijo,3,13.15,2025-02-01
397,C035,Pao_de_Hamburguer,2,5.94,2025-01-13
398,C038,Azeite,5,13.71,2025-02-10
399,C042,Biscoito,2,23.37,2025-05-08
400,C066,Salsicha,4,26.61,2025-05-08
401,C003,Acucar,4,12.92,2025-03-03
402,C028,Sabonete,1,3.42,2025-05-07
403,C077,Pao_de_Hot_Dog,3,17.03,2025-01-28
404,C056,Arroz,3,22.37,2025-04-14
405,C047,Geleia,4,3.43,2025-05-24
406,C025,Arroz_Integral,5,10.08,2025-04-09
407,C065,Pao_de_Hamburguer,5,9.83,2025-01-31
408,C017,Queijo,4,18.67,2025-03-28
409,C072,Arroz_Integral,2,7.57,2025-05-11
410,C052,Granola,1,3.27,2025-02-05
411,C092,Refrigerante,4,16.54,2025-02-08
412,C078,Granola,2,11.18,2025-03-23
413,C021,Farinha,5,22.7,2025-03-18
414,C076,Refrigerante,5,25.19,2025-05-17
415,C063,Esponja,4,24.84,2025-04-05
416,C043,Vinho,4,27.51,2025-01-07
417,C077,Pao_de_Hot_Dog,3,29.08,2025-05-29
418,C074,Fralda,6,3.44,2025-05-03
419,C022,Azeite,2,25.01,2025-03-04
420,C005,Vinho,2,3.79,2025-03-22
421,C054,Feijao,4,21.33,2025-04-16
422,C065,Pao_de_Hot_Dog,6,22.37,2025-02-05
423,C067,Carvao,5,11.1,2025-05-03
424,C068,Azeite,3,28.79,2025-04-28
425,C069,Refrigerante,5,11.92,2025-03-09
426,C079,Pao_de_Hot_Dog,2,28.81,2025-03-13
427,C072,Esponja,2,28.36,2025-03-18
428,C099,Detergente,6,7.8,2025-05-06
429,C041,Pao_de_Hot_Dog,3,17.69,2025-03-12
430,C037,Vinho,5,31.42,2025-04-08
431,C051,Sabonete,2,10.13,2025-03-15
432,C092,Acucar,3,22.3,2025-03-07
433,C096,Pao_de_Hot_Dog,2,7.66,2025-05-18
434,C035,Condicionador,2,5.06,2025-05-31
435,C031,Lenco_Umedecido,1,20.76,2025-05-16
436,C029,Fralda,1,4.81,2025-03-26
437,C092,Pao_de_Hot_Dog,1,21.07,2025-02-05
438,C001,Macarrao,4,20.28,2025-05-02
439,C062,Cerveja,3,10.99,2025-01-16
440,C099,Acucar,6,14.46,2025-05-17
441,C095,Geleia,2,13.7,2025-02-15
442,C005,Farinha,4,7.22,2025-03-16
443,C005,Pao,3,14.32,2025-01-28
444,C043,Detergente,4,29.69,2025-05-20
445,C068,Iogurte,2,25.83,2025-04-30
446,C035,Cerveja,1,11.26,2025-04-28
447,C083,Shampoo,6,7.21,2025-03-28
448,C038,Cerveja,2,19.11,2025-04-14
449,C055,Granola,3,4.43,2025-01-25
450,C024,Arroz,4,11.06,2025-03-05
451,C001,Shampoo,4,8.59,2025-03-10
452,C043,Esponja,5,22.24,2025-01-03
453,C034,Arroz_Integral,6,8.62,2025-01-31
454,C060,Esponja,2,13.35,2025-05-09
455,C091,Esponja,6,5.29,2025-03-17
456,C048,Fralda,2,28.81,2025-05-03
457,C020,Salsicha,6,29.69,2025-04-06
458,C054,Pao_de_Hot_Dog,5,24.46,2025-02-25
459,C098,Lenco_Umedecido,6,23.13,2025-01-21
460,C068,Pao_de_Hamburguer,5,21.71,2025-01-20
461,C073,Vinho,1,37.81,2025-05-10
462,C026,Feijao,2,11.19,2025-05-14
463,C057,Vinho,6,11.62,2025-05-30
464,C063,Acucar,5,11.58,2025-01-15
465,C059,Arroz,5,13.63,2025-05-25
466,C008,Salsicha,6,24.59,2025-01-06
467,C051,Shampoo,1,22.88,2025-05-29
468,C010,Geleia,4,11.65,2025-01-17
469,C070,Leite,1,23.69,2025-05-01
470,C005,Detergente,4,7.04,2025-02-04
471,C099,Fermento,3,29.8,2025-04-08
472,C058,Azeite,4,4.25,2025-05-19
473,C018,Sabonete,1,7.0,2025-05-18
474,C051,Arroz,6,29.4,2025-01-01
475,C097,Manteiga,3,14.96,2025-05-20
476,C055,Azeite,2,8.93,2025-03-30
477,C020,Condicionador,2,28.25,2025-01-29
478,C005,Fermento,5,23.45,2025-01-05
479,C031,Carvao,1,4.83,2025-01-09
480,C058,Leite,2,18.19,2025-04-13
481,C057,Fralda,5,8.08,2025-01-15
482,C018,Granola,3,8.56,2025-05-28
483,C041,Biscoito,2,10.45,2025-02-06
484,C085,Fralda,4,10.41,2025-01-16
485,C072,Molho_de_Tomate,6,21.01,2025-05-23
486,C064,Leite,3,22.69,2025-04-08
487,C068,Biscoito,6,13.66,2025-02-08
488,C039,Azeite,2,23.12,2025-05-02
489,C031,Fralda,3,26.01,2025-02-06
490,C060,Leite,5,10.84,2025-04-17
491,C072,Arroz,4,8.8,2025-02-22
492,C043,Acucar,4,20.58,2025-01-24
493,C069,Cerveja,1,9.52,2025-01-11
494,C010,Cerveja,5,22.28,2025-05-24
495,C028,Pao_de_Hot_Dog,2,26.35,2025-03-27
496,C039,Pao,2,22.59,2025-01-31
497,C096,Pao_de_Hot_Dog,2,21.48,2025-02-22
498,C051,Lenco_Umedecido,5,11.01,2025-03-14
499,C049,Salsicha,5,20.16,2025-03-20
